Name,ID,Nb Casiers,Qualité de collecte,Collecteurs disponibles,latitude,longitude,heures,key,date,quantite,demande
BIOCOOP KENNEDY,PDC-090,20.0,A SURVEILLER,['REBOOTEILLE'],46.2062855,5.240692,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP KENNEDY PDC-090,2022-10-25 00:00:00,18.0,1
BIOCOOP TERRA NAT (MEXIMIEUX),PDC-084,20.0,NEUTRE,['REBOOTEILLE'],45.9016051,5.1994242,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP TERRA NAT (MEXIMIEUX) PDC-084,2022-12-05 00:00:00,0.0,0
BIOCOOP BIOGONE,PDC-081,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7740508,4.8699867,"[[13, 19.5], [33.5, 37], [39, 43.5], [57.5, 61], [63, 67.5], [81.5, 85], [87, 91.5], [105.5, 109], [111, 115.5], [129.5, 133], [135, 139.5]]", BIOCOOP BIOGONE PDC-081,2022-11-02 00:00:00,8.0,0
BIOCOOP TOTEM,PDC-082,12.0,TOPISSIME,"['URBY LYON', 'REBOOTEILLE']",45.763529,4.8725306,"[[12, 19.5], [33.5, 43.5], [57.5, 67.5], [81.5, 91.5], [105.5, 115.5], [129.5, 139.5]]", BIOCOOP TOTEM PDC-082,2022-11-14 00:00:00,10.0,0
BIOCOOP DU GROS CAILLOU,PDC-065,18.0,TOPISSIME,"['URBY LYON', 'REBOOTEILLE']",45.7749549,4.8335813,"[[8, 9], [32, 33], [56, 57], [80, 81], [104, 105], [128, 129], [152, 153]]", BIOCOOP DU GROS CAILLOU PDC-065,2022-11-10 00:00:00,12.0,1
BIOCOOP TERREAUX,PDC-038,20.0,TOPISSIME,"['URBY LYON', 'REBOOTEILLE']",45.767359,4.8310335,"[[9, 18], [33, 42], [57, 66], [81, 90], [105, 114], [129, 138], [153, 162]]", BIOCOOP TERREAUX PDC-038,2022-11-04 00:00:00,15.0,0
BIOCOOP VALMY,PDC-058,20.0,TOPISSIME,"['URBY LYON', 'REBOOTEILLE']",45.7756018,4.8037413,"[[6.5, 19.5], [30.5, 43.5], [54.5, 67.5], [78.5, 86], [87.5, 91.5], [102.5, 115.5], [126.5, 139.5]]", BIOCOOP VALMY PDC-058,2022-11-22 00:00:00,7.0,0
BIOMONDE LE PANIER DU PILAT MACLAS,PDC-121,37.0,NEUTRE,['REBOOTEILLE'],45.3614374,4.6835523,"[[8.5, 12.5], [15, 19], [32.5, 36.5], [39, 43], [56.5, 60.5], [63, 67], [80.5, 84.5], [87, 91], [104.5, 108.5], [111, 115], [128.5, 132.5], [135, 139]]", BIOMONDE LE PANIER DU PILAT MACLAS PDC-121,2022-11-04 00:00:00,15.0,0
L'EPICERIE DE LEONIE,PDC-050,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.8066949,4.8893931,"[[40, 43.5], [64, 67.5], [88, 91.5], [111, 115.5], [128.5, 139.5]]", L'EPICERIE DE LEONIE PDC-050,2022-11-23 00:00:00,2.0,0
UN GRAIN DANS LE GRENIER (GRAP),PDC-054,4.0,NEUTRE,"['GRAP / COOLIVRI', 'URBY LYON', 'REBOOTEILLE']",45.7763659,4.8329949,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", UN GRAIN DANS LE GRENIER (GRAP) PDC-054,2022-11-24 00:00:00,2.0,0
L'EPICERIE DES HALLES (GRAP),PDC-079,4.0,NEUTRE,"['GRAP / COOLIVRI', 'URBY LYON', 'REBOOTEILLE']",45.7683907,4.8295934,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", L'EPICERIE DES HALLES (GRAP) PDC-079,2022-11-24 00:00:00,3.0,0
L’EAU VIVE FELIX FAURE,PDC-172,12.0,TOPISSIME,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.753205,4.8566897,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", L’EAU VIVE FELIX FAURE PDC-172,2022-12-05 00:00:00,0.0,0
LA PÉPITE VERTE,PDC-179,20.0,NEUTRE,['REBOOTEILLE'],45.834788,4.618481,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA PÉPITE VERTE PDC-179,2022-12-05 00:00:00,0.0,0
